时间,确证数,死亡数
2020/3/27,68,1
2020/3/28,94,1
2020/3/29,98,1
2020/3/30,109,1
2020/3/31,122,3
2020/4/1,142,3
2020/4/2,159,3
2020/4/3,173,3
2020/4/4,186,3
2020/4/5,207,3
2020/4/6,225,3
2020/4/7,237,4
2020/4/8,251,4
2020/4/9,269,5
2020/4/10,278,6
2020/4/11,293,7
2020/4/12,308,7
2020/4/13,331,8
2020/4/14,341,8
2020/4/15,365,9
2020/4/16,393,9
2020/4/17,393,9
2020/4/18,528,9
2020/4/19,585,9
2020/4/20,627,9
2020/4/21,644,13
2020/4/22,679,14
2020/4/23,709,15
2020/4/24,748,15
2020/4/25,803,16
2020/4/26,867,17
